availability_30,availability_60,availability_90,availability_365
14,44,74,349
14,35,65,340
18,48,78,353
6,27,57,315
14,21,36,253
0,0,0,0
2,10,12,250
11,21,49,106
8,15,45,302
0,6,8,229
0,0,0,272
0,28,46,284
2,4,13,61
5,13,41,242
0,0,0,0
1,7,30,113
2,32,62,337
3,22,49,303
2,4,4,212
30,60,90,365
12,35,52,291
21,51,76,254
26,56,86,361
17,43,53,209
2,7,9,217
0,0,0,0
23,53,83,83
11,15,26,301
0,0,0,0
21,51,81,171
25,55,85,354
0,0,0,65
10,24,54,130
19,24,54,326
0,0,0,0
29,59,89,179
4,4,4,172
3,3,3,237
29,59,89,364
3,3,3,3
3,8,15,83
0,2,16,75
3,3,3,6
29,59,89,179
30,60,84,359
4,33,63,175
0,0,0,66
0,0,0,78
25,55,85,360
0,0,0,0
29,59,89,334
6,13,13,169
2,2,2,54
1,11,41,41
12,21,25,71
0,0,0,0
5,13,29,270
8,10,21,82
15,20,23,23
20,50,80,355
8,20,40,101
0,0,0,0
30,60,90,365
30,60,90,179
4,8,16,227
19,49,74,74
0,0,0,0
24,54,84,359
0,0,4,170
23,53,83,358
2,9,19,129
30,60,90,179
27,57,87,360
21,51,77,77
19,41,71,161
6,34,59,321
15,39,62,233
2,12,28,262
0,0,6,183
2,19,49,324
0,0,0,0
12,25,46,291
0,27,44,219
6,11,18,228
0,0,0,0
0,0,0,253
5,35,65,66
0,0,0,253
17,27,33,277
0,0,0,0
27,57,87,362
29,59,86,361
0,0,0,0
23,53,83,83
0,9,39,314
29,59,87,362
19,32,51,239
0,0,0,0
27,57,87,362
0,0,0,0
27,57,87,362
9,39,60,126
23,53,83,84
8,31,61,336
1,5,32,300
27,57,87,362
5,13,27,274
29,59,89,364
19,49,79,354
4,4,19,160
2,11,26,285
0,16,46,61
0,0,0,0
0,0,0,0
0,0,0,0
5,19,34,298
0,0,4,252
23,53,83,84
6,27,50,312
19,49,79,79
0,0,0,97
0,0,0,0
12,42,72,338
0,0,0,0
19,27,43,282
29,59,89,364
26,56,86,177
28,58,88,363
29,59,89,355
8,30,53,311
13,29,59,325
0,0,0,0
9,12,12,12
0,0,0,0
11,25,32,32
0,0,0,0
7,30,55,329
25,55,85,352
0,25,55,330
8,17,17,17
23,53,83,84
7,29,52,134
0,0,0,0
30,60,90,365
5,20,47,246
7,21,51,231
17,43,65,260
8,20,32,298
0,0,4,267
29,59,89,364
12,28,58,279
3,9,21,251
25,49,79,79
0,0,8,31
0,0,0,0
0,0,0,0
25,55,85,360
12,35,65,104
0,10,40,315
30,60,90,365
0,0,20,260
0,0,0,0
0,0,0,0
2,2,8,283
29,59,76,344
28,58,88,363
0,0,0,0
28,58,88,363
30,60,90,179
17,43,64,149
0,0,0,0
0,0,26,44
1,4,7,189
30,60,90,117
0,0,0,0
5,11,27,198
30,60,90,365
9,39,69,328
0,0,0,0
5,24,54,261
2,3,6,249
8,38,68,343
22,50,78,350
29,59,89,179
30,56,86,361
0,0,0,0
29,59,89,364
0,0,0,0
26,36,53,301
26,54,78,325
0,0,0,64
0,0,0,0
11,35,65,65
0,0,0,0
0,0,0,0
5,11,23,294
8,17,29,30
24,47,77,352
22,43,70,303
2,19,27,216
7,23,39,203
13,14,32,32
23,53,74,337
0,0,0,0
0,0,0,0
0,0,4,269
0,0,0,0
0,0,0,0
5,10,24,250
2,8,13,261
12,17,47,138
28,58,88,89
0,10,33,248
1,3,33,308
30,60,90,365
0,1,5,5
5,35,65,340
5,15,39,129
14,44,74,74
14,44,74,164
0,10,10,44
26,56,86,361
18,48,78,78
0,0,0,0
1,1,9,256
0,0,0,0
7,11,18,88
3,9,20,119
0,0,0,0
2,2,2,2
30,60,90,90
0,0,0,0
13,28,58,59
23,53,82,82
27,57,87,362
0,0,0,0
29,59,89,364
7,9,15,227
4,4,4,4
21,45,74,298
19,49,79,170
19,19,19,84
28,58,88,88
15,25,32,280
29,59,89,364
2,3,10,129
30,60,90,90
15,34,46,311
28,58,88,356
0,0,0,0
0,0,0,0
0,0,0,127
0,0,0,0
27,57,87,178
2,2,29,304
12,22,37,170
0,0,0,0
30,60,90,365
6,10,29,182
14,30,57,316
5,11,33,267
0,0,0,0
16,23,52,76
1,4,23,144
0,0,0,0
5,20,50,320
30,60,90,179
0,0,0,9
0,0,0,0
22,46,63,330
1,20,50,279
0,0,0,0
4,6,12,42
5,10,40,224
1,18,18,18
0,0,0,0
23,53,54,323
2,17,43,196
2,6,6,6
3,3,22,253
13,21,40,298
11,29,30,30
30,60,90,365
5,29,58,333
0,0,0,0
14,30,37,291
10,40,56,316
29,59,89,364
28,58,88,88
22,52,82,172
0,0,0,0
5,13,27,107
13,30,37,37
11,29,57,264
3,6,11,80
8,16,29,154
4,21,51,141
7,7,7,7
4,16,44,44
7,36,66,341
1,1,30,30
0,0,0,0
30,60,90,365
14,15,19,268
5,30,47,122
21,40,64,107
0,0,0,0
29,59,89,89
4,4,4,4
0,0,0,0
11,22,34,156
13,13,13,207
0,0,0,0
10,16,28,293
0,0,0,0
0,0,0,0
0,0,0,0
6,23,47,311
4,4,4,4
30,60,90,365
23,51,81,352
21,46,73,345
17,47,73,327
0,0,0,0
4,20,46,47
0,0,0,0
4,8,14,270
8,17,44,230
30,60,90,365
17,27,27,27
15,45,74,74
7,7,17,203
0,0,0,0
0,0,0,0
0,0,0,109
16,37,59,334
0,0,0,0
30,60,90,180
28,58,88,363
5,6,26,301
0,0,0,0
0,0,0,0
30,60,90,90
0,0,0,0
17,47,77,229
9,21,49,72
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
15,45,71,341
6,12,20,88
30,60,90,365
0,0,0,0
0,0,0,0
10,34,64,154
0,0,0,0
28,58,88,363
23,53,83,358
28,58,88,88
30,60,90,180
0,0,0,0
23,53,83,358
11,15,15,16
5,35,65,155
29,59,89,89
28,58,88,363
0,0,0,0
11,17,24,210
0,0,0,0
0,0,0,0
22,52,82,82
25,47,73,164
4,14,22,280
6,13,22,22
2,5,6,207
4,24,54,187
0,0,0,0
30,60,90,90
3,15,19,227
0,0,0,250
0,0,0,0
10,32,56,146
30,60,90,365
0,4,4,4
0,0,0,0
0,0,0,0
0,15,15,100
22,52,63,283
0,8,22,223
5,16,23,153
0,0,0,0
0,0,0,0
0,0,0,0
19,49,79,317
0,0,2,277
7,37,67,277
27,57,87,109
0,10,14,70
0,18,48,139
2,3,3,3
5,5,5,5
0,0,0,0
0,0,0,40
0,0,0,270
0,0,0,0
0,0,0,0
1,1,6,148
3,10,19,40
8,30,41,293
0,0,0,0
0,0,30,90
0,0,24,294
0,4,4,4
8,14,19,135
4,18,41,281
14,32,59,142
4,9,15,101
30,60,90,365
30,60,90,180
0,0,0,0
25,53,83,173
20,44,67,296
3,26,56,300
0,0,3,278
0,0,0,0
0,0,0,0
5,23,45,192
2,18,18,18
23,46,76,351
0,0,0,0
10,19,23,225
0,0,0,0
13,32,62,323
3,3,3,3
0,0,0,0
24,54,84,84
29,59,89,179
24,54,84,359
24,54,84,169
0,27,57,332
0,0,0,0
0,0,0,0
0,0,3,212
0,1,4,86
0,0,0,0
28,58,88,359
29,59,89,179
24,52,82,357
0,0,0,0
7,20,50,250
29,59,89,89
16,46,76,351
9,32,54,314
19,49,79,79
6,14,40,312
0,0,0,0
21,51,81,356
4,8,19,256
0,7,7,18
26,56,86,361
7,12,20,118
0,0,8,283
7,21,31,251
30,60,90,212
0,0,3,118
0,0,0,0
20,36,66,66
30,60,90,180
7,20,39,122
25,54,83,358
10,11,27,175
30,60,90,365
0,0,0,1
0,0,0,0
4,4,4,12
17,47,77,352
2,5,7,209
28,58,88,89
0,0,0,0
0,29,59,334
0,13,18,108
3,5,11,174
24,49,62,337
6,28,28,28
30,51,79,323
29,59,89,89
13,17,32,307
23,53,83,358
3,4,34,105
10,23,38,309
30,60,87,354
0,0,0,46
0,0,0,0
6,20,31,278
29,59,81,81
3,6,19,158
27,57,77,318
10,35,53,226
4,22,43,220
0,0,0,0
7,20,37,290
30,60,90,322
1,10,27,266
0,0,0,0
0,0,0,0
0,0,0,0
0,6,36,311
0,0,0,0
3,5,5,223
0,0,0,36
0,0,2,148
0,12,42,132
0,0,0,245
16,42,67,264
2,10,40,315
7,23,53,144
0,0,0,0
0,22,22,22
0,0,0,267
0,0,0,0
0,0,0,0
0,0,0,0
30,60,90,361
30,60,90,359
24,54,76,310
4,24,54,54
13,40,70,314
20,49,79,354
0,6,10,81
0,0,0,0
17,47,77,298
0,0,0,0
6,25,25,25
23,53,83,83
0,2,6,147
0,0,0,0
12,35,65,337
0,0,0,165
29,59,89,355
24,47,63,324
11,15,45,135
20,20,20,226
6,25,55,330
29,59,89,364
7,15,21,166
0,0,9,181
22,42,72,163
17,47,77,352
7,7,9,9
30,60,90,365
0,0,0,0
20,26,26,26
24,54,84,84
0,0,0,0
28,58,88,363
19,49,79,80
21,45,64,296
0,0,0,0
1,12,26,298
21,51,81,81
2,2,2,189
30,60,90,240
14,28,41,221
27,41,71,346
21,51,81,356
0,0,0,0
0,0,0,0
17,33,58,289
17,47,75,330
2,26,27,291
19,41,69,242
0,0,0,0
5,5,5,5
20,47,71,314
19,45,75,166
3,5,11,160
28,58,88,284
0,29,59,326
13,31,54,151
2,16,39,272
8,19,49,324
21,44,74,74
0,0,0,0
28,51,76,293
0,0,0,0
7,33,59,334
19,49,79,351
21,38,68,343
0,5,17,281
30,60,90,365
28,52,70,106
7,16,35,286
8,18,44,44
6,13,13,246
19,43,73,73
9,13,43,43
7,17,23,35
15,39,69,339
17,47,77,352
16,25,50,91
0,0,0,5
19,49,79,79
18,40,63,153
4,8,16,26
0,2,20,251
0,0,0,0
15,24,47,123
12,36,66,341
0,0,0,0
27,54,84,359
0,0,0,0
13,33,63,338
0,0,0,0
19,19,19,236
2,14,25,189
0,23,53,53
0,0,0,0
0,0,0,0
29,59,89,89
15,19,25,25
15,33,48,297
27,57,87,362
22,46,60,146
11,35,65,336
0,0,0,0
17,39,69,344
0,0,6,91
10,38,68,68
0,0,0,0
0,0,0,100
8,21,51,275
28,55,85,163
27,53,83,172
30,60,90,90
17,26,34,232
28,58,87,148
0,0,0,0
0,0,0,0
3,8,12,194
21,46,71,332
30,60,90,365
4,8,19,230
30,60,90,90
0,0,0,0
11,13,30,247
0,0,0,0
0,0,0,0
29,59,89,89
3,21,48,237
11,41,71,162
0,0,0,0
13,43,73,341
13,22,31,216
0,0,0,0
21,21,47,229
0,0,0,151
6,22,52,77
13,15,21,200
0,0,0,0
0,0,0,0
3,6,22,147
0,0,0,0
1,31,61,336
15,31,35,35
24,54,84,359
0,0,0,0
0,0,0,0
7,28,58,318
0,0,3,3
30,60,90,90
21,43,67,281
2,5,17,56
30,59,81,356
25,55,85,360
0,0,0,15
8,28,58,145
8,24,51,322
6,24,35,258
0,0,0,0
30,60,90,90
5,19,31,38
29,59,89,352
0,0,0,183
1,17,33,291
0,0,0,0
0,0,0,0
29,59,89,364
0,0,0,0
14,14,34,240
3,9,15,51
17,35,56,315
12,28,51,296
3,10,26,236
30,60,90,365
6,6,8,8
13,41,71,338
10,10,14,283
0,0,0,132
0,0,0,0
0,0,0,0
2,13,26,179
0,11,28,223
0,0,0,0
15,33,57,265
30,60,90,324
30,60,90,365
0,0,0,0
9,39,69,159
11,11,11,11
30,60,90,365
4,16,27,179
5,12,27,295
0,0,0,0
10,16,32,39
30,60,90,176
0,0,0,0
25,53,65,65
10,40,70,345
13,13,13,72
28,58,88,113
0,0,0,0
30,60,90,365
4,26,56,147
7,32,53,144
1,1,16,16
19,32,43,294
0,9,28,296
16,39,69,304
30,60,90,365
30,60,90,365
29,59,89,89
0,0,0,0
22,52,82,82
20,50,76,329
23,50,78,352
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,6,11,40
0,0,0,264
27,57,87,88
0,0,0,0
30,60,90,365
11,12,12,48
0,0,0,0
30,60,90,143
6,20,50,177
4,9,26,217
30,33,33,33
0,0,0,0
21,51,78,346
5,6,22,39
9,9,9,9
3,13,30,75
30,60,87,351
6,11,11,141
6,15,21,67
23,53,83,348
0,13,43,318
3,12,22,263
0,0,0,0
27,57,87,362
5,17,32,306
0,0,0,0
4,6,11,172
9,14,16,65
29,59,89,364
0,0,0,0
6,16,40,315
23,53,83,83
29,59,89,263
21,51,81,160
5,35,65,339
25,55,82,107
18,29,50,203
16,46,76,351
29,51,81,356
9,39,69,344
0,0,0,262
30,60,90,362
14,44,74,246
3,15,26,234
0,0,0,0
30,60,90,164
8,9,9,9
2,4,34,197
4,9,23,261
28,58,83,357
0,0,0,33
0,18,48,323
12,12,12,119
30,44,70,70
0,0,0,0
0,0,0,0
10,28,50,50
0,0,0,250
0,0,0,0
0,0,0,138
13,43,71,340
4,34,64,339
2,8,8,8
0,0,0,0
6,19,49,139
27,57,87,87
0,0,0,0
0,0,0,0
4,34,64,154
0,0,0,0
23,53,83,127
3,6,17,169
30,60,90,365
12,29,39,111
23,53,83,358
23,53,83,358
10,35,57,316
5,35,65,297
0,0,0,0
30,60,90,365
2,6,11,29
17,42,42,83
11,18,23,99
0,0,0,0
0,0,0,0
0,0,0,0
1,31,61,61
0,0,0,0
27,49,79,350
0,0,5,123
0,0,0,0
0,0,0,48
0,30,46,254
0,0,0,0
0,0,0,0
0,0,0,0
